1,'HPD'
2,'GREENSBORO,HIGH P, NC'
3,313630,313630,0,0,0,0,0,0,0,0
4,1948,07,1952,12
9,23,6,'0','0'
9,24,1,'0','0'
9,25,83,'0','0'
8,948,11,6,'HI',6
9,15,1,'0','0'
9,16,7,'0','0'
9,17,16,'0','0'
9,18,16,'0','0'
9,19,1,'0','0'
9,25,41,'0','0'
8,948,11,9,'HI',4
9,4,10,'0','0'
9,5,9,'0','0'
9,6,1,'0','0'
9,25,20,'0','0'
8,948,11,10,'HI',5
9,17,10,'0','0'
9,19,1,'0','0'
9,20,1,'0','0'
9,21,1,'0','0'
9,25,13,'0','0'
8,948,11,13,'HI',3
9,7,9,'0','0'
9,8,1,'0','0'
9,25,10,'0','0'
8,948,11,16,'HI',2
9,23,1,'0','0'
9,25,1,'0','0'
8,948,11,17,'HI',7
9,2,2,'0','0'
9,3,2,'0','0'
9,4,2,'0','0'
9,5,2,'0','0'
9,6,2,'0','0'
9,7,1,'0','0'
9,25,11,'0','0'
8,948,11,19,'HI',14
9,5,1,'0','0'
9,6,9,'0','0'
9,8,1,'0','0'
9,12,9,'0','0'
9,13,6,'0','0'
9,14,3,'0','0'
9,15,31,'0','0'
9,16,1,'0','0'
9,17,43,'0','0'
9,18,35,'0','0'
9,19,17,'0','0'
9,20,10,'0','0'
9,24,1,'0','0'
9,25,167,'0','0'
8,948,11,22,'HI',12
9,1,1,'0','0'
9,2,13,'0','0'
9,3,8,'0','0'
9,4,4,'0','0'
9,5,10,'0','0'
9,6,22,'0','0'
9,7,10,'0','0'
9,8,5,'0','0'
9,9,2,'0','0'
9,10,1,'0','0'
9,14,1,'0','0'
9,25,77,'0','0'
8,948,11,23,'HI',12
9,13,2,'0','0'
9,15,1,'0','0'
9,16,2,'0','0'
9,17,2,'0','0'
9,18,5,'0','0'
9,19,4,'0','0'
9,20,6,'0','0'
9,21,7,'0','0'
9,22,3,'0','0'
9,23,4,'0','0'
9,24,1,'0','0'
9,25,37,'0','0'
8,948,11,24,'HI',9
9,1,1,'0','0'
9,2,9,'0','0'
9,3,9,'0','0'
9,4,2,'0','0'
9,5,2,'0','0'
9,19,1,'0','0'
9,20,7,'0','0'
9,24,4,'0','0'
9,25,35,'0','0'
8,948,11,25,'HI',2
9,1,1,'0','0'
9,25,1,'0','0'
8,948,11,26,'HI',8
9,18,1,'0','0'
9,19,3,'0','0'
9,20,3,'0','0'
9,21,5,'0','0'
9,22,6,'0','0'
9,23,2,'0','0'
9,24,2,'0','0'
9,25,22,'0','0'
8,948,11,27,'HI',5
9,1,15,'0','0'
9,2,10,'0','0'
9,3,13,'0','0'
9,5,1,'0','0'
9,25,39,'0','0'
8,948,11,28,'HI',22
9,4,3,'0','0'
9,5,3,'0','0'
9,6,4,'0','0'
9,7,13,'0','0'
9,8,25,'0','0'
9,9,22,'0','0'
9,10,20,'0','0'
9,11,20,'0','0'
9,12,26,'0','0'
9,13,19,'0','0'
9,14,10,'0','0'
9,15,7,'0','0'
9,16,7,'0','0'
9,17,2,'0','0'
9,18,7,'0','0'
9,19,3,'0','0'
9,20,5,'0','0'
9,21,5,'0','0'
