HPD08021100HPCPHI19650600100011600 00015  &&&
HPD08021100HPCPHI19650600100011700 00008  &&&
HPD08021100HPCPHI19650600100011800 00001  &&&
HPD08021100HPCPHI19650600100012000 00004  &&&
HPD08021100HPCPHI19650600110010100 00001  &&&
HPD08021100HPCPHI19650600110010300 00009  &&&
HPD08021100HPCPHI19650600110010600 00024  &&&
HPD08021100HPCPHI19650600110010700 00034  &&&
HPD08021100HPCPHI19650600110010800 00017  &&&
HPD08021100HPCPHI19650600110010900 00011  &&&
HPD08021100HPCPHI19650600110011100 00009  &&&
HPD08021100HPCPHI19650600110011200 00012  &&&
HPD08021100HPCPHI19650600110011400 00010  &&&
HPD08021100HPCPHI19650600110011500 00004  &&&
HPD08021100HPCPHI19650600110011600 00001  &&&
HPD08021100HPCPHI19650600110011700 00030  &&&
HPD08021100HPCPHI19650600110011800 00023  &&&
HPD08021100HPCPHI19650600110011900 00017  &&&
HPD08021100HPCPHI19650600140012200 00001  &&&
HPD08021100HPCPHI19650600140012300 00008  &&&
HPD08021100HPCPHI19650600140012400 00019  &&&
HPD08021100HPCPHI19650600150010100 00011  &&&
HPD08021100HPCPHI19650600150010200 00005  &&&
HPD08021100HPCPHI19650600150010300 00013  &&&
HPD08021100HPCPHI19650600150010400 00037  &&&
HPD08021100HPCPHI19650600150010500 00008  &&&
HPD08021100HPCPHI19650600150010600 00027  &&&
HPD08021100HPCPHI19650600150010700 00011  &&&
HPD08021100HPCPHI19650600150010800 00034  &&&
HPD08021100HPCPHI19650600150010900 00236  &&&
HPD08021100HPCPHI19650600150011000 00028  &&&
HPD08021100HPCPHI19650600150011100 00002  &&&
HPD08021100HPCPHI19650600150011200 00006  &&&
HPD08021100HPCPHI19650600150011300 00001  &&&
HPD08021100HPCPHI19650600160011700 00001  &&&
HPD08021100HPCPHI19650600170010100 00006  &&&
HPD08021100HPCPHI19650600170010200 00012  &&&
HPD08021100HPCPHI19650600170010400 00001  &&&
HPD08021100HPCPHI19650600170010600 00001  &&&
HPD08021100HPCPHI19650600170011000 00103  &&&
HPD08021100HPCPHI19650600170011100 00051  &&&
HPD08021100HPCPHI19650600170011200 00037  &&&
HPD08021100HPCPHI19650600170011300 00005  &&&
HPD08021100HPCPHI19650600170011400 00001  &&&
